domain,n_records,n_cities,n_aba,ids,cities
qckinetix.com,2,2,0,"[""9736"",""9660""]","[""PEMBROKE PINES"",""WEST PALM BEACH""]"
requestphysicaltherapy.com,2,2,0,"[""9904"",""9981""]","[""GAINESVILLE"",""NEWBERRY""]"
restorativespeechservicesinc.clientsecure.me,2,2,0,"[""10255"",""6539""]","[""DELAND"",""PORT ORANGE""]"
sflspineandsports.com,2,1,0,"[""9573"",""9606""]","[""MIRAMAR"",""MIRAMAR""]"
skillpointtherapy.com,2,2,0,"[""10209"",""10256""]","[""BRANDON"",""TAMPA""]"
slmspeech.com,2,2,0,"[""9221"",""9242""]","[""BOYNTON BEACH"",""SUNRISE""]"
sloanestecker.com,2,2,0,"[""9747"",""9501""]","[""JUPITER"",""WEST PALM BEACH""]"
smalltalkjax.com,2,2,0,"[""9198"",""9173""]","[""JACKSONVILLE"",""ORANGE PARK""]"
soflopt.com,2,1,0,"[""9605"",""9564""]","[""FORT LAUDERDALE"",""FORT LAUDERDALE""]"
southflaortho.com,2,1,0,"[""9946"",""9881""]","[""PORT ST. LUCIE"",""PORT ST. LUCIE""]"
southflorida.easterseals.com,2,2,1,"[""6729"",""8774""]","[""MIAMI"",""MIAMI GARDENS""]"
southfloridaaba.org,2,2,2,"[""6072"",""7448""]","[""HIALEAH"",""MIAMI LAKES""]"
spacecoastes.org,2,2,0,"[""9255"",""6988""]","[""MELBOURNE"",""ROCKLEDGE""]"
specializedpediatriccare.com,2,1,0,"[""7192"",""9098""]","[""MIAMI"",""MIAMI""]"
speechnow.info,2,2,0,"[""9178"",""9245""]","[""PEMBROKE PINES"",""WESTON""]"
speechtherapy305.com,2,2,0,"[""9395"",""6773""]","[""HIALEAH"",""HIALEAH GARDENS""]"
speechworksflorida.com,2,2,0,"[""10281"",""7131""]","[""ORANGE CITY"",""PORT ORANGE""]"
sproutbehavioralservices.com,2,2,2,"[""10575"",""10576""]","[""HOLLYWOOD"",""WELLINGTON""]"
successonthespectrum.com,2,2,2,"[""10715"",""7211""]","[""CLEARWATER"",""TAMPA""]"
sunshinekidzppec.com,2,2,0,"[""8504"",""7670""]","[""FORT LAUDERDALE"",""HOLLYWOOD""]"
superkidsaba.com,2,1,2,"[""7053"",""6094""]","[""NORTH MIAMI BEACH"",""NORTH MIAMI BEACH""]"
swflspeechtherapy.com,2,2,1,"[""9362"",""6886""]","[""ESTERO"",""FORT MYERS""]"
tampabayphysicaltherapy.com,2,1,0,"[""9534"",""9533""]","[""TAMPA"",""TAMPA""]"
thefloridacenter.org,2,2,0,"[""10670"",""10669""]","[""NORTH PORT"",""SARASOTA""]"
therapeuticrehabspecialists.com,2,1,0,"[""9780"",""9703""]","[""LAKELAND"",""LAKELAND""]"
therapy-alliance.com,2,2,0,"[""8068"",""9417""]","[""HIALEAH"",""MIAMI LAKES""]"
tlcpediatrictherapy.com,2,1,0,"[""9928"",""7257""]","[""ORLANDO"",""ORLANDO""]"
tlhproject.com,2,2,2,"[""7673"",""7056""]","[""MIAMI"",""MIAMI SPRINGS""]"
tospt.com,2,1,0,"[""9542"",""10385""]","[""TALLAHASSEE"",""TALLAHASSEE""]"
totallifecounseling.com,2,2,2,"[""7348"",""6890""]","[""ORLANDO"",""TAMPA""]"
tukkosabatherapy.com,2,1,1,"[""7290"",""6771""]","[""CAPE CORAL"",""CAPE CORAL""]"
aaspeech.com,2,2,1,"[""5844"",""9410""]","[""TAMPA"",""VALRICO""]"
yourphysicaltherapyexperts.com,2,2,0,"[""9994"",""9905""]","[""ORLANDO"",""PORT ORANGE""]"
abafoundations.com,2,2,2,"[""10712"",""10713""]","[""PALM BEACH GARDENS"",""STUART""]"
abaresults.com,2,2,2,"[""7315"",""7168""]","[""FORT MYERS"",""GAINESVILLE""]"
advancetherapycenter.com,2,2,0,"[""9450"",""9744""]","[""HIALEAH"",""MIAMI""]"
akltherapy.com,2,2,0,"[""10248"",""6840""]","[""LONGWOOD"",""MIAMI SPRINGS""]"
aligntherapy.org,2,2,0,"[""9899"",""9820""]","[""INDIAN HARBOUR BEACH"",""MELBOURNE BEACH""]"
alkemesportsrx.com,2,2,0,"[""9740"",""9665""]","[""DAVIE"",""MIAMI""]"
alwayskeepprogressing.com,2,2,2,"[""9408"",""7259""]","[""MIAMI GARDENS"",""NORTH MIAMI""]"
amfhealthcare.com,2,2,0,"[""9511"",""9507""]","[""CLEARWATER"",""LARGO""]"
apd.myflorida.com,2,2,2,"[""6748"",""7125""]","[""GAINESVILLE"",""TALLAHASSEE""]"
arcbroward.com,2,2,1,"[""10364"",""8845""]","[""OAKLAND PARK"",""SUNRISE""]"
arcjacksonville.org,2,1,1,"[""6523"",""7291""]","[""JACKSONVILLE"",""JACKSONVILLE""]"
atlanticrehabcenter.com,2,2,0,"[""9808"",""9871""]","[""NORTH MIAMI BEACH"",""PEMBROKE PINES""]"
atouchofhopeot.com,2,2,0,"[""7486"",""9317""]","[""AVENTURA"",""MIAMI""]"
axispropt.com,2,2,0,"[""9834"",""9900""]","[""MELBOURNE"",""PALM BAY""]"
backtoyourehab.com,2,2,0,"[""9835"",""9836""]","[""FORT PIERCE"",""PORT ST. LUCIE""]"
baptisthealth.net,2,2,0,"[""9688"",""9785""]","[""CORAL GABLES"",""MIAMI BEACH""]"
baysidetherapyspecialists.com,2,2,0,"[""7238"",""10119""]","[""CLEARWATER"",""NEW PORT RICHEY""]"
bayviewtherapy.com,2,2,2,"[""8574"",""7287""]","[""CORAL SPRINGS"",""FORT LAUDERDALE""]"
bcckids.org,2,1,1,"[""9434"",""5884""]","[""POMPANO BEACH"",""POMPANO BEACH""]"
behavior-analysis.org,2,1,2,"[""5819"",""6557""]","[""DAVIE"",""DAVIE""]"
behaviorbasicsinc.com,2,2,1,"[""9786"",""6904""]","[""MELBOURNE"",""PORT ST. LUCIE""]"
bigbearacademyppec.com,2,2,0,"[""10110"",""10059""]","[""DAVIE"",""MIAMI""]"
bmmaba.com,2,2,2,"[""8965"",""7419""]","[""HIALEAH"",""MIAMI LAKES""]"
brightsideabatherapy.com,2,2,2,"[""10663"",""10664""]","[""RIVERVIEW"",""SUN CITY CENTER""]"
cadenzacenter.com,2,1,2,"[""6399"",""5848""]","[""HOLLYWOOD"",""HOLLYWOOD""]"
centralfloridatherapysolutions.com,2,2,0,"[""10039"",""10036""]","[""LONGWOOD"",""ORANGE CITY""]"
